name,long,lat
Acanthemblemaria aspera,-83.01337,24.701
Acanthemblemaria aspera,-82.92835,24.55083
Acanthemblemaria aspera,-82.8666,24.65804
Acanthemblemaria aspera,-82.80435,24.72624
Acanthemblemaria aspera,-82.9025,24.61115
Acanthemblemaria aspera,-82.93714,24.63027
Acanthemblemaria aspera,-82.87341,24.600460000000002
Acanthemblemaria aspera,-82.92947,24.61359
Acanthemblemaria aspera,-83.02019,24.67841
Acanthemblemaria aspera,-82.99505,24.6789
Acanthemblemaria aspera,-82.83903,24.72352
Acanthemblemaria aspera,-82.90277,24.60734
Acanthemblemaria aspera,-82.96134,24.5686
Acanthemblemaria aspera,-82.80151,24.66106
Acanthemblemaria aspera,-82.9025,24.61122
Acanthemblemaria aspera,-82.99723,24.69845
Acanthemblemaria aspera,-82.87169,24.59865
Acanthemblemaria aspera,-83.0244,24.66155
Acanthemblemaria aspera,-82.85067,24.71857
Acanthemblemaria aspera,-82.84827,24.69381
Acanthemblemaria aspera,-82.95522,24.65252
Acanthemblemaria aspera,-82.98818,24.71494
Acanthemblemaria aspera,-82.84247,24.71481
Acanthemblemaria aspera,-82.85615,24.64232
Acanthemblemaria aspera,-82.84258,24.71496
Acanthemblemaria aspera,-82.87381,24.60271
Acanthemblemaria aspera,-82.92942,24.61373
Acanthemblemaria aspera,-83.02607,24.67962
Acanthemblemaria aspera,-82.85894,24.62851
Acanthemblemaria aspera,-82.80419,24.72293
Acanthemblemaria aspera,-82.85821,24.66313
Acanthemblemaria aspera,-82.812,24.66267
Acanthemblemaria aspera,-82.92306,24.62035
Acanthemblemaria aspera,-82.94014,24.64471
Acanthemblemaria aspera,-82.90698,24.58201
Acanthemblemaria aspera,-82.93114,24.64292
Acanthemblemaria aspera,-83.01255,24.70544
Acanthemblemaria aspera,-82.97868,24.69397
Acanthemblemaria aspera,-82.94767,24.63213
Acanthemblemaria aspera,-82.87287,24.66729
Acanthemblemaria aspera,-82.85366,24.66156
Acanthemblemaria aspera,-82.80141,24.66101
Acanthemblemaria aspera,-82.99029,24.68324
Acanthemblemaria aspera,-82.98708,24.72227
Acanthemblemaria aspera,-82.933,24.60866
Acanthemblemaria aspera,-82.89683,24.61881
Acanthemblemaria aspera,-82.8643,24.61934
Acanthemblemaria aspera,-82.94328,24.57724
Acanthemblemaria aspera,-82.98834,24.71489
Acanthemblemaria aspera,-82.94888,24.56779
Acanthemblemaria aspera,-82.90674,24.58185
Acanthemblemaria aspera,-82.99448,24.6772
Acanthemblemaria aspera,-82.95488,24.546
Acanthemblemaria aspera,-82.94541,24.63121
Acanthemblemaria aspera,-82.90111,24.62183
Acanthemblemaria aspera,-83.01021,24.68072
Acanthemblemaria aspera,-82.95756,24.63837
Acanthemblemaria aspera,-82.97867,24.69394
Acanthemblemaria aspera,-82.88107,24.59177
Acanthemblemaria aspera,-82.95332,24.54764
Acanthemblemaria aspera,-82.99029,24.68324
Acanthemblemaria aspera,-82.90277,24.60734
Acanthemblemaria aspera,-83.01299,24.68566
Acanthemblemaria aspera,-82.92324,24.62026
Acanthemblemaria aspera,-82.93128,24.64283
Acanthemblemaria aspera,-82.99428,24.71494
Acanthemblemaria aspera,-82.99144,24.67719
Acanthemblemaria aspera,-82.92509,24.56908
Acanthemblemaria aspera,-83.01248,24.70549
Acanthemblemaria aspera,-82.92908,24.64423
Acanthemblemaria aspera,-83.01124,24.69393
Acanthemblemaria aspera,-82.80449,24.72623
Acanthemblemaria aspera,-82.96262,24.62483
Acanthemblemaria aspera,-82.83911,24.72343
Acanthemblemaria aspera,-82.85963,24.69694
Acanthemblemaria aspera,-82.93112,24.61147
Acanthemblemaria aspera,-82.86862,24.65709
Acanthemblemaria aspera,-82.81084,24.66871
Acanthemblemaria aspera,-82.90216,24.61427
Acanthemblemaria aspera,-82.94043,24.6391
Acanthemblemaria aspera,-82.94013,24.64482
Acanthemblemaria aspera,-82.99274,24.68183
Acanthemblemaria aspera,-82.99547,24.69742
Acanthemblemaria aspera,-82.96973,24.61995
Acanthemblemaria aspera,-83.01021,24.68072
Acanthemblemaria aspera,-82.79814,24.72669
Acanthemblemaria aspera,-83.02053,24.66255
Acanthemblemaria aspera,-82.83241,24.65357
Acanthemblemaria aspera,-82.93711,24.63043
Acanthemblemaria aspera,-82.94307,24.54199
Acanthemblemaria aspera,-82.96633,24.63333
Acanthemblemaria aspera,-82.96883,24.63093
Acanthemblemaria aspera,-83.02176,24.66657
Acanthemblemaria aspera,-82.92698,24.58212
Acanthemblemaria aspera,-82.83388,24.720580000000002
Acanthemblemaria aspera,-82.85003,24.72221
Acanthemblemaria aspera,-82.92516,24.61627
Acanthemblemaria aspera,-83.0088,24.70501
Acanthemblemaria aspera,-83.02607,24.67962
Acanthemblemaria aspera,-82.85604,24.64221
Acanthemblemaria aspera,-82.78411,24.723
Acanthemblemaria aspera,-82.98186,24.69314
Acanthemblemaria aspera,-82.94029,24.56468
Acanthemblemaria aspera,-83.01801,24.67824
Acanthemblemaria aspera,-82.8107,24.72435
Acanthemblemaria aspera,-82.86463,24.61952
Acanthemblemaria aspera,-82.9025,24.61122
Acanthemblemaria aspera,-82.80683,24.71991
Acanthemblemaria aspera,-82.83385,24.72065
Acanthemblemaria aspera,-82.96876,24.63096
Acanthemblemaria aspera,-82.98729,24.72224
Acanthemblemaria aspera,-83.01213,24.68256
Acanthemblemaria aspera,-82.85309,24.72283
Acanthemblemaria aspera,-82.87774,24.66398
Acanthemblemaria aspera,-82.92508,24.61646
Acanthemblemaria aspera,-82.8846,24.58933
Acanthemblemaria aspera,-82.8324,24.65349
Acanthemblemaria aspera,-82.94784,24.54366
Acanthemblemaria aspera,-82.85367,24.66136
Acanthemblemaria aspera,-82.91272,24.5757
Acanthemblemaria aspera,-82.94773,24.63216
Acanthemblemaria aspera,-82.80761,24.72118
Acanthemblemaria aspera,-82.94267,24.62948
Acanthemblemaria aspera,-82.9613,24.56852
Acanthemblemaria aspera,-82.94887,24.56783
Acanthemblemaria aspera,-83.01213,24.68256
Acanthemblemaria aspera,-82.90212,24.61438
Acanthemblemaria aspera,-82.81766,24.7248
Acanthemblemaria aspera,-83.01337,24.701
Acanthemblemaria aspera,-82.99314,24.68375
Acanthemblemaria aspera,-82.89694,24.61876
Acanthemblemaria aspera,-82.966309999999993,24.63315
Acanthemblemaria aspera,-82.99441,24.71511
Acanthemblemaria aspera,-82.94038,24.63908
Acanthemblemaria aspera,-82.87047,24.61113
Acanthemblemaria aspera,-82.81466,24.71959
Acanthemblemaria aspera,-82.80991,24.72734
Acanthemblemaria aspera,-82.94318,24.58912
Acanthemblemaria aspera,-82.90118,24.62184
Acanthemblemaria aspera,-82.95508,24.54613
Acanthemblemaria aspera,-82.99274,24.68183
Acanthemblemaria aspera,-82.96061,24.64922
Acanthemblemaria aspera,-82.81797,24.72701
Acanthemblemaria aspera,-83.0088,24.70501
Acanthemblemaria aspera,-82.94299,24.54212
Acanthemblemaria aspera,-82.91734,24.59659
Acanthemblemaria aspera,-82.81093,24.7243
Acanthemblemaria aspera,-82.94012,24.56466
Acanthemblemaria aspera,-82.84195,24.68833
Acanthemblemaria aspera,-82.88747,24.58659
Acanthemblemaria aspera,-82.91306,24.57572
Acanthemblemaria aspera,-82.87047,24.61129
Acanthemblemaria aspera,-83.02053,24.66255
Acanthemblemaria aspera,-82.92723,24.58179
Acanthemblemaria aspera,-82.91727,24.59642
Acanthemblemaria aspera,-82.85053,24.71854
Acanthemblemaria aspera,-82.80971,24.66958
Acanthemblemaria aspera,-82.87777,24.6641
Acanthemblemaria aspera,-82.9654,24.62957
Acanthemblemaria aspera,-82.94323,24.57739
Acanthemblemaria aspera,-82.84152,24.68923
Acanthemblemaria aspera,-82.95744,24.63825
Acanthemblemaria aspera,-82.88835,24.58288
Acanthemblemaria aspera,-82.88459,24.58932
Acanthemblemaria aspera,-82.85601,24.63783
Acanthemblemaria aspera,-82.84163,24.68923
Acanthemblemaria aspera,-82.85759,24.63125
Acanthemblemaria aspera,-82.84838,24.69383
Acanthemblemaria aspera,-82.85974,24.69691
Acanthemblemaria aspera,-83.01801,24.67824
Acanthemblemaria aspera,-82.81462,24.71971
Acanthemblemaria aspera,-83.00958,24.7002
Acanthemblemaria aspera,-82.80768,24.72118
Acanthemblemaria aspera,-82.872,24.6069
Acanthemblemaria aspera,-82.9746,24.57848
Acanthemblemaria aspera,-80.13253,25.40042
Acanthemblemaria aspera,-83.10128,24.62065
Acanthemblemaria aspera,-80.14462,25.41634
Acanthemblemaria aspera,-83.02108,24.63837
Acanthemblemaria aspera,-83.02108,24.63837
Acanthemblemaria aspera,-83.07762,24.66143
Acanthemblemaria aspera,-82.97003,24.59308
