name,long,lat
Ursus americanus,-105.074524,39.440563
Ursus americanus,-118.118329,34.205239
Ursus americanus,-124.815085,49.256415
Ursus americanus,-106.839051,37.403135
Ursus americanus,-122.558765,38.409273
Ursus americanus,-110.717833,44.943514
Ursus americanus,-120.281572,39.432658000000004
Ursus americanus,-110.980096,45.621391
Ursus americanus,-110.324988,31.503983
Ursus americanus,-124.450608,48.529388
Ursus americanus,-121.782994,46.796436
Ursus americanus,-121.054649,38.904877
Ursus americanus,-109.219995,38.421701
Ursus americanus,-120.000661,38.932916
Ursus americanus,-117.830531,34.347149
Ursus americanus,-122.928193,40.959341
Ursus americanus,-119.685537,38.729873
Ursus americanus,-120.036567,39.253095
Ursus americanus,-110.589523,44.427713
Ursus americanus,-119.647408,34.68005
Ursus americanus,-119.001781,37.599276
Ursus americanus,-117.978247,34.156145
Ursus americanus,-122.697788,49.301645
Ursus americanus,-107.920595,39.115046
Ursus americanus,-105.339332,40.00581
Ursus americanus,-105.286058,40.759494
Ursus americanus,-117.97792,34.15662
Ursus americanus,-110.589523,44.427713
Ursus americanus,-106.982944,38.947828
Ursus americanus,-123.479462,40.907028
Ursus americanus,-123.870414,40.826711
Ursus americanus,-117.978447,34.15662
Ursus americanus,-121.50243,39.982746
Ursus americanus,-120.871131,48.107051
Ursus americanus,-111.100782,32.058124
Ursus americanus,-121.591377,45.335349
Ursus americanus,-117.978037,34.156395
Ursus americanus,-120.176568,41.267092
Ursus americanus,-119.941457,38.974645
Ursus americanus,-105.701583,32.954947
Ursus americanus,-122.455133,38.455421
Ursus americanus,-117.978028,34.156386
Ursus americanus,-105.471375,37.731717
Ursus americanus,-110.731667,43.778333
Ursus americanus,-113.90863,46.817717
Ursus americanus,-120.11368,39.013951
Ursus americanus,-122.07201,41.339862
Ursus americanus,-108.53717,32.650007
Ursus americanus,-113.84707,47.022761
Ursus americanus,-120.708832,39.309906
Ursus americanus,-121.953777,44.562872
Ursus americanus,-123.540351,40.721022
Ursus americanus,-121.5738,46.85688
Ursus americanus,-121.048645,48.462726
Ursus americanus,-117.83587,34.145894
Ursus americanus,-113.963272,46.91425
Ursus americanus,-121.953318,44.566524
Ursus americanus,-118.865922,34.467747
Ursus americanus,-121.626889,45.491905
Ursus americanus,-122.360249,41.493675
Ursus americanus,-119.171226,37.781485000000004
Ursus americanus,-104.99616,39.264423
Ursus americanus,-118.736667,36.58778
Ursus americanus,-113.975555,46.878887
Ursus americanus,-119.496599,34.488042
Ursus americanus,-110.743516,43.652459
Ursus americanus,-125.675064,49.011806
Ursus americanus,-117.979422,34.159217
