Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Aliciella subnuda KANU00247797,Aliciella subnuda,2,1.541,0.197,,,,,
Aliciella subnuda KANU00247797,Aliciella subnuda,3,1.681,0.241,,,,,
Aliciella subnuda KANU362789,Aliciella subnuda,1,1.31,0.185,,,,,
Aliciella subnuda KANU362789,Aliciella subnuda,2,1.355,0.204,,,,,
Aliciella subnuda KANU362789,Aliciella subnuda,3,1.592,0.193,,,,,
Aliciella subnuda KSC0126390,Aliciella subnuda,1,1.424,0.22,,,,,
Aliciella subnuda KSC0126390,Aliciella subnuda,2,1.328,0.194,,,,,
Aliciella subnuda KSC0126390,Aliciella subnuda,3,1.621,0.246,,,,,
,Aliciella subnuda,,,,1.5465,0.166571394,0.227888889,0.032276177,6.786201853
Aliciella tenuis UF190756,Aliciella tenuis,1,0.884,0.13,,,,,
Aliciella tenuis UF190756,Aliciella tenuis,2,0.859,0.142,,,,,
Aliciella tenuis UF190756,Aliciella tenuis,3,0.94,0.144,,,,,
,Aliciella tenuis,,,,0.894333333,0.041476901,0.138666667,0.007571878,6.449519231
Aliciella triodon MO1037260,Aliciella triodon,1,0.423,0.08,,,,,
Aliciella triodon MO1037260,Aliciella triodon,2,0.429,0.065,,,,,
Aliciella triodon MO1037260,Aliciella triodon,3,0.404,0.062,,,,,
Aliciella triodon MO2753602,Aliciella triodon,1,0.383,0.073,,,,,
Aliciella triodon MO2753602,Aliciella triodon,2,0.428,0.082,,,,,
Aliciella triodon MO2753602,Aliciella triodon,3,0.486,0.061,,,,,
Aliciella triodon MO4050306,Aliciella triodon,1,0.473,0.075,,,,,
Aliciella triodon MO4050306,Aliciella triodon,2,0.396,0.06,,,,,
,Aliciella triodon,,,,0.42775,0.035935458,0.06975,0.008843884,6.132616487
Allophyllum divaricatum KSC0124636,Allophyllum divaricatum,1,0.686,0.199,,,,,
Allophyllum divaricatum KSC0124636,Allophyllum divaricatum,2,0.633,0.106,,,,,
Allophyllum divaricatum KSC0124636,Allophyllum divaricatum,3,0.632,0.111,,,,,
,Allophyllum divaricatum,,,,0.650333333,0.030892286,0.138666667,0.052309974,4.689903846
Allophyllum gilioides FLAS119038,Allophyllum gilioides,1,0.658,0.079,,,,,
Allophyllum gilioides FLAS119038,Allophyllum gilioides,2,0.628,0.084,,,,,
Allophyllum gilioides FLAS119038,Allophyllum gilioides,3,0.744,0.102,,,,,
Allophyllum gilioides FLAS124817,Allophyllum gilioides,1,0.633,0.095,,,,,
Allophyllum gilioides FLAS124817,Allophyllum gilioides,2,0.467,0.081,,,,,
Allophyllum gilioides FLAS124817,Allophyllum gilioides,3,0.454,0.07,,,,,
Allophyllum gilioides FLAS72302,Allophyllum gilioides,1,0.538,0.071,,,,,
Allophyllum gilioides FLAS72302,Allophyllum gilioides,2,0.516,0.074,,,,,
Allophyllum gilioides FLAS72302,Allophyllum gilioides,3,0.499,0.065,,,,,
Allophyllum gilioides FLAS72303,Allophyllum gilioides,1,0.72,0.092,,,,,
Allophyllum gilioides FLAS72303,Allophyllum gilioides,2,0.596,0.078,,,,,
Allophyllum gilioides FLAS72303,Allophyllum gilioides,3,0.544,0.062,,,,,
Allophyllum gilioides FLAS79454,Allophyllum gilioides,1,2.125,0.282,,,,,
Allophyllum gilioides FLAS79454,Allophyllum gilioides,2,1.835,0.359,,,,,
Allophyllum gilioides FLAS79454,Allophyllum gilioides,3,2.107,0.27,,,,,
Allophyllum gilioides KANU00176463,Allophyllum gilioides,1,0.356,0.068,,,,,
Allophyllum gilioides KANU00176463,Allophyllum gilioides,2,0.433,0.082,,,,,
Allophyllum gilioides KANU00176463,Allophyllum gilioides,3,0.399,0.086,,,,,
Allophyllum gilioides KANU00176464,Allophyllum gilioides,1,0.31,0.054,,,,,
Allophyllum gilioides KANU00176464,Allophyllum gilioides,2,0.317,0.081,,,,,
Allophyllum gilioides KANU00176464,Allophyllum gilioides,3,0.373,0.8,,,,,
Allophyllum gilioides KSC0126261,Allophyllum gilioides,1,0.379,0.051,,,,,
Allophyllum gilioides KSC0126261,Allophyllum gilioides,2,0.417,0.061,,,,,
Allophyllum gilioides KSC0126261,Allophyllum gilioides,3,0.381,0.065,,,,,
Allophyllum gilioides KSC0126262,Allophyllum gilioides,1,0.33,0.071,,,,,
Allophyllum gilioides KSC0126262,Allophyllum gilioides,2,0.261,0.053,,,,,
Allophyllum gilioides KSC0126262,Allophyllum gilioides,3,0.274,0.074,,,,,
Allophyllum gilioides KSC0126266,Allophyllum gilioides,1,0.344,0.065,,,,,
Allophyllum gilioides KSC0126266,Allophyllum gilioides,2,0.312,0.071,,,,,
Allophyllum gilioides KSC0126266,Allophyllum gilioides,3,0.393,0.073,,,,,
Allophyllum giloides UF119038,Allophyllum giloides,1,0.382,0.063,,,,,
Allophyllum giloides UF119038,Allophyllum giloides,2,0.355,0.082,,,,,
Allophyllum giloides UF119038,Allophyllum giloides,3,0.429,0.063,,,,,
,Allophyllum giloides,,,,0.5705,0.462592107,0.111166667,0.135791963,5.131934033
Allophyllum glutinosum KANU0176465,Allophyllum glutinosum,1,0.566,0.083,,,,,
Allophyllum glutinosum KANU0176465,Allophyllum glutinosum,2,0.614,0.11,,,,,
Allophyllum glutinosum KANU0176465,Allophyllum glutinosum,3,0.645,0.128,,,,,
Allophyllum glutinosum KSC0126064,Allophyllum glutinosum,1,0.715,0.122,,,,,
Allophyllum glutinosum KSC0126064,Allophyllum glutinosum,2,0.833,0.128,,,,,
Allophyllum glutinosum KSC0126064,Allophyllum glutinosum,3,0.737,0.116,,,,,
,Allophyllum glutinosum,,,,0.685,0.096239285,0.1145,0.016944025,5.982532751
Allophyllum integrifolium MO3108259,Allophyllum integrifolium,1,0.449,0.11,,,,,
Allophyllum integrifolium MO3108259,Allophyllum integrifolium,2,0.35,0.08,,,,,
Allophyllum integrifolium MO3108259,Allophyllum integrifolium,3,0.385,0.11,,,,,
Allophyllum integrifolium MO4270063,Allophyllum integrifolium,1,0.409,0.111,,,,,
Allophyllum integrifolium MO4270063,Allophyllum integrifolium,2,0.44,0.115,,,,,
Allophyllum integrifolium MO4270063,Allophyllum integrifolium,3,0.503,0.135,,,,,
Allophyllum integrifolium MO4390038,Allophyllum integrifolium,1,0.429,0.085,,,,,
Allophyllum integrifolium MO4390038,Allophyllum integrifolium,2,0.555,0.191,,,,,
Allophyllum integrifolium MO4390038,Allophyllum integrifolium,3,0.586,0.239,,,,,
,Allophyllum integrifolium,,,,0.456222222,0.077805491,0.130666667,0.051882078,3.491496599
Allophyllum violaceum 3024210,Allophyllum violaceum,1,0.592,0.244,,,,,
Allophyllum violaceum 3024210,Allophyllum violaceum,2,0.671,0.212,,,,,
Allophyllum violaceum 3024210,Allophyllum violaceum,3,0.567,0.238,,,,,
Allophyllum violaceum 3108257,Allophyllum violaceum,1,0.304,0.106,,,,,
Allophyllum violaceum 3108257,Allophyllum violaceum,2,0.39,0.093,,,,,
Allophyllum violaceum 3108257,Allophyllum violaceum,3,0.335,0.088,,,,,
Allophyllum violaceum 4322220,Allophyllum violaceum,1,0.347,0.083,,,,,
Allophyllum violaceum 4322220,Allophyllum violaceum,2,0.347,0.093,,,,,
Allophyllum violaceum 4322220,Allophyllum violaceum,3,0.339,0.073,,,,,
,Allophyllum violaceum,,,,0.432444444,0.1376591,0.136666667,0.072041655,3.164227642
Bonplandia geminiflora MO04668787,Bonplandia geminiflora,1,1.846,0.167,,,,,
Bonplandia geminiflora MO04668787,Bonplandia geminiflora,2,1.278,0.292,,,,,
Bonplandia geminiflora MO04668787,Bonplandia geminiflora,3,1.518,0.201,,,,,
Bonplandia geminiflora MO2606326,Bonplandia geminiflora,1,1.893,0.212,,,,,
Bonplandia geminiflora MO2606326,Bonplandia geminiflora,2,1.791,0.255,,,,,
Bonplandia geminiflora MO2606326,Bonplandia geminiflora,3,1.263,0.276,,,,,
,Bonplandia geminiflora,,,,1.598166667,0.285237737,0.233833333,0.04823035,6.834640057
Bryantiella palmeri UF106211,Bryantiella palmeri,1,0.936,0.095,,,,,
Bryantiella palmeri UF106211,Bryantiella palmeri,2,0.859,0.092,,,,,
Bryantiella palmeri UF106211,Bryantiella palmeri,3,0.868,0.1,,,,,
,Bryantiella palmeri,,,,0.887666667,0.042099089,0.095666667,0.004041452,9.278745645
Cantua buxifolia MO1284774,Cantua buxifolia,1,7.162,0.943,,,,,
Cantua buxifolia MO1284774,Cantua buxifolia,2,7.216,0.904,,,,,
Cantua buxifolia MO1284774,Cantua buxifolia,3,7.206,0.889,,,,,
Cantua buxifolia MO5782510,Cantua buxifolia,1,6.963,0.901,,,,,
Cantua buxifolia MO5782510,Cantua buxifolia,2,6.333,0.983,,,,,
Cantua buxifolia MO5782510,Cantua buxifolia,3,4.593,0.701,,,,,
Cantua buxifolia MO6314998,Cantua buxifolia,1,6.379,1.057,,,,,
Cantua buxifolia MO6314998,Cantua buxifolia,2,7.007,1.22,,,,,
Cantua buxifolia MO6314998,Cantua buxifolia,3,6.892,1.167,,,,,
,Cantua buxifolia,,,,6.763636364,0.800553343,0.931909091,0.179569181,7.257828505
Cantua candelilla MO587382,Cantua candelilla,1,5.561,0.792,,,,,
Cantua candelilla MO587382,Cantua candelilla,2,5.56,0.782,,,,,
Cantua candelilla MO587382,Cantua candelilla,3,5.995,0.87,,,,,
Cantua candelilla MO6197258,Cantua candelilla,1,5.15,0.955,,,,,
Cantua candelilla MO6197258,Cantua candelilla,2,5.686,0.783,,,,,
Cantua candelilla MO6197258,Cantua candelilla,3,6.168,1.003,,,,,
,Cantua candelilla,,,,5.686666667,0.359610715,0.864166667,0.096027947,6.580520733
Cantua cuzcoensis RSABG670098,Cantua cuzcoensis,1,5.548,0.868,,,,,
Cantua cuzcoensis RSABG670098,Cantua cuzcoensis,2,4.955,0.842,,,,,
Cantua cuzcoensis RSABG670098,Cantua cuzcoensis,3,5.814,0.717,,,,,
,Cantua cuzcoensis,,,,5.439,0.439751066,0.809,0.080727938,6.723114957
Cantua dendritica MO6128945,Cantua dendritica,1,0.728,0.096,,,,,
Cantua dendritica MO6128945,Cantua dendritica,2,0.941,0.093,,,,,
Cantua dendritica MO6128945,Cantua dendritica,3,0.865,0.084,,,,,
,Cantua dendritica,,,,0.844666667,0.107945974,0.091,0.006244998,9.282051282
Cantua flexuosa MO3590670,Cantua flexuosa,1,1.769,0.437,,,,,
Cantua flexuosa MO3590670,Cantua flexuosa,2,1.729,0.639,,,,,
Cantua flexuosa MO3590670,Cantua flexuosa,3,1.852,0.335,,,,,
Cantua flexuosa MO6122610,Cantua flexuosa,1,1.86,0.245,,,,,
Cantua flexuosa MO6122610,Cantua flexuosa,2,1.845,0.277,,,,,
Cantua flexuosa MO6122610,Cantua flexuosa,3,1.853,0.39,,,,,
Cantua flexuosa MO6314697,Cantua flexuosa,1,1.945,0.42,,,,,
Cantua flexuosa MO6314697,Cantua flexuosa,2,1.636,0.336,,,,,
Cantua flexuosa MO6314697,Cantua flexuosa,3,1.723,0.379,,,,,
,Cantua flexuosa,,,,1.801333333,0.094189968,0.384222222,0.114381792,4.688259109
Cantua pyrifolia MO5708217,Cantua pyrifolia,1,3.383,0.854,,,,,
Cantua pyrifolia MO5708217,Cantua pyrifolia,2,2.948,0.663,,,,,
Cantua pyrifolia MO5708217,Cantua pyrifolia,3,2.855,0.804,,,,,
Cantua pyrifolia MO5782517,Cantua pyrifolia,1,2.497,0.613,,,,,
Cantua pyrifolia MO5782517,Cantua pyrifolia,2,2.418,0.585,,,,,
Cantua pyrifolia MO5782517,Cantua pyrifolia,3,2.047,0.537,,,,,
Cantua pyrifolia MO6052283,Cantua pyrifolia,1,2.693,0.859,,,,,
Cantua pyrifolia MO6052283,Cantua pyrifolia,2,2.897,0.909,,,,,
Cantua pyrifolia MO6052283,Cantua pyrifolia,3,2.652,0.761,,,,,
,Cantua pyrifolia,,,,2.71,0.377396012,0.731666667,0.135518449,3.703872437
Cantua quercifolia MO5755785,Cantua quercifolia,1,,0.521,,,,,
Cantua quercifolia MO5755785,Cantua quercifolia,2,,0.452,,,,,
Cantua quercifolia MO5755785,Cantua quercifolia,3,,0.493,,,,,
Cantua quercifolia MO5782509,Cantua quercifolia,1,3.07,0.448,,,,,
Cantua quercifolia MO5782509,Cantua quercifolia,2,3.94,0.552,,,,,
Cantua quercifolia MO5782509,Cantua quercifolia,3,3.865,0.56,,,,,
Cantua quercifolia MO5782518,Cantua quercifolia,1,3.168,0.634,,,,,
Cantua quercifolia MO5782518,Cantua quercifolia,2,3.248,0.441,,,,,
Cantua quercifolia MO5782518,Cantua quercifolia,3,3.231,0.531,,,,,
Cantua quercifolia MO6030150,Cantua quercifolia,1,3.03,0.447,,,,,
Cantua quercifolia MO6030150,Cantua quercifolia,2,2.81,0.346,,,,,
Cantua quercifolia MO6030150,Cantua quercifolia,3,,,,,,,
,Cantua quercifolia,,,,3.29525,0.399898826,0.493181818,0.077597446,6.681612903
