year,season,seas.code,trt,plot,sample,Aphaenogaster.treatae,Brachymyrmex.depilis,Camponotus.castaneus,Crematogaster.cerasi,Crematogaster.lineolata,Crematogaster.missuriensis,Dolichoderus.plagiatus,Dorymyrmex.flavus,Forelius.pruinosus,Formica.dolosa,Hypoponera.opacior,Monomorium.minimum,Neivamyrmex.nigrescens,Neivamyrmex.opacithorax,Nylanderia.terricola,Nylanderia.trageri,Pheidole.morrisi,Strumigenys.louisianae,Tapimoma.sessile,Temnothorax.pergandei,Trachymyrmex.septentrionalis
2010,May,1,Unburned,1A,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,2,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,4,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,5,0,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,7,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,9,0,1,0,0,1,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0
2010,May,1,Unburned,1B,10,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2011,May,1,Post-burned,6A,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
2011,May,1,Post-burned,6A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,May,1,Post-burned,6A,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011,May,1,Post-burned,6A,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
2011,May,1,Post-burned,6A,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,May,1,Post-burned,6A,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,May,1,Post-burned,6A,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
